Country_Name,Country_Code,CO2,GDPpc
Afghanistan,AFG,0.232175631,2068.265904
Albania,ALB,1.759987059,11878.48809
Algeria,DZA,3.674232947,11696.96523
American Samoa,ASM,NA,NA
Andorra,AND,6.026181837,NA
Angola,AGO,1.260920989,8036.410898
Antigua and Barbuda,ATG,5.236665206,18594.26162
Argentina,ARG,4.314433522,23933.88661
Armenia,ARM,1.825292192,11321.33254
Aruba,ABW,NA,37715.92662
Australia,AUS,15.7864494,47636.31964
Austria,AUT,7.306745266,52798.09946
Azerbaijan,AZE,3.333906429,14853.91055
"Bahamas, The",BHS,6.333511491,35400.64947
Bahrain,BHR,22.30559688,48110.73419
Bangladesh,BGD,0.458797539,3700.110821
Barbados,BRB,4.52112839,15382.76569
Belarus,BLR,5.784217191,18307.51967
Belgium,BEL,8.444061111,49455.44134
Belize,BLZ,1.828629691,7358.582292
Benin,BEN,0.566378737,2945.970221
Bermuda,BMU,NA,77842.7539
Bhutan,BTN,1.31888966,10086.0728
Bolivia,BOL,1.877691189,7984.411983
Bosnia and Herzegovina,BIH,5.718264797,12630.66234
Botswana,BWA,3.399795164,16714.39782
Brazil,BRA,2.347365731,15064.17607
British Virgin Islands,VGB,NA,NA
Brunei Darussalam,BRN,14.41262527,63147.48349
Bulgaria,BGR,6.225976043,19620.15398
Burkina Faso,BFA,0.187735194,1925.332075
Burundi,BDI,0.040354196,825.2056607
Cabo Verde,CPV,0.952852841,6266.881779
Cambodia,KHM,0.55278394,3546.339387
Cameroon,CMR,0.343800787,3458.692713
Canada,CAN,15.65138616,47522.14067
Cayman Islands,CYM,NA,67241.28339
Central African Republic,CAF,0.06899359,852.7492366
Chad,TCD,0.06874084,1857.107864
Channel Islands,CHI,NA,NA
Chile,CHL,4.561654853,24440.41526
China,CHN,7.169112177,12691.82155
Colombia,COL,1.705152834,14095.74836
Comoros,COM,0.23153061,2959.498097
"Congo, Dem. Rep.",COD,0.037904358,1065.242577
"Congo, Rep.",COG,0.70838841,5227.934277
Costa Rica,CRI,1.555343088,19141.68307
Cote d'Ivoire,CIV,0.411605058,4417.150215
Croatia,HRV,3.968023629,24562.45362
Cuba,CUB,2.427420867,NA
Curacao,CUW,NA,26548.7
Cyprus,CYP,5.839858672,34472.29851
Czech Republic,CZE,9.575140818,36168.41856
Denmark,DNK,5.911867775,52892.64603
Djibouti,DJI,0.590810921,4488.802658
Dominica,DMA,2.528977871,11873.74184
Dominican Republic,DOM,2.280756783,15328.35951
Ecuador,ECU,2.511716305,11896.37516
"Egypt, Arab Rep.",EGY,2.444220788,10570.44523
El Salvador,SLV,1.106698196,8143.224442
Equatorial Guinea,GNQ,6.110005776,28313.43316
Eritrea,ERI,0.194446721,NA
Estonia,EST,11.68459648,31146.75452
Eswatini,SWZ,0.932938902,8304.658458
Ethiopia,ETH,0.127732852,1779.084111
Faroe Islands,FRO,NA,NA
Fiji,FJI,1.738365614,12569.14311
Finland,FIN,7.814537412,45072.59021
France,FRA,4.666086597,43345.78643
French Polynesia,PYF,NA,NA
Gabon,GAB,2.813589432,15510.03895
"Gambia, The",GMB,0.254091837,2058.658146
Georgia,GEO,2.469615674,12605.14007
Germany,DEU,9.087290939,51083.92166
Ghana,GHA,0.543283052,4662.303191
Gibraltar,GIB,NA,NA
Greece,GRC,6.285069342,28248.12596
Greenland,GRL,NA,NA
Grenada,GRD,2.46343622,15142.06257
Guam,GUM,NA,NA
Guatemala,GTM,1.049628073,8125.655534
Guinea,GIN,0.222181479,2087.935026
Guinea-Bissau,GNB,0.161178259,1800.063382
Guyana,GUY,2.671242962,11261.81371
Haiti,HTI,0.31040976,2941.816081
Honduras,HND,1.083079554,5283.416914
"Hong Kong SAR, China",HKG,NA,57215.94803
Hungary,HUN,4.407180392,27499.32447
Iceland,ISL,6.227045327,52142.93281
India,IND,1.641198393,5464.394057
Indonesia,IDN,1.899658692,10149.60387
"Iran, Islamic Rep.",IRN,7.672481325,12698.1092
Iraq,IRQ,4.559450509,10122.20078
Ireland,IRL,7.866937107,72251.15354
Isle of Man,IMN,NA,NA
Israel,ISR,7.892507249,37554.59866
Italy,ITA,5.56325971,40247.82904
Jamaica,JAM,2.521597884,9473.106195
Japan,JPN,9.292832367,39777.53102
Jordan,JOR,2.73671831,10145.8367
Kazakhstan,KAZ,11.77918743,24290.41763
Kenya,KEN,0.356946384,3824.759303
Kiribati,KIR,0.540896265,2168.997732
"Korea, Dem. People's Rep.",PRK,1.004612801,NA
"Korea, Rep.",KOR,11.88886857,38828.741
Kosovo,XKX,NA,9723.580842
Kuwait,KWT,22.9534559,54834.39167
Kyrgyz Republic,KGZ,1.7240511,4805.141092
Lao PDR,LAO,1.284645373,6543.670689
Latvia,LVA,3.701592949,26621.27223
Lebanon,LBN,4.140719561,16299.20776
Lesotho,LSO,1.083044238,2701.421855
Liberia,LBR,0.281738703,1580.479228
Libya,LBY,8.388494488,11022.42921
Liechtenstein,LIE,4.270652609,NA
Lithuania,LTU,3.810789319,30748.19631
Luxembourg,LUX,16.02867957,110446.0861
"Macao SAR, China",MAC,NA,119439.7683
Madagascar,MDG,0.136997154,1546.767046
Malawi,MWI,0.071661878,1432.085259
Malaysia,MYS,7.682279042,24787.82375
Maldives,MDV,2.967593875,17284.64789
Mali,MLI,0.195541292,2139.736297
Malta,MLT,3.70742361,39845.11457
Marshall Islands,MHL,2.611238772,3586.056421
Mauritania,MRT,0.729060397,5127.432282
Mauritius,MUS,3.136372817,19897.4754
Mexico,MEX,3.87819451,19268.9144
"Micronesia, Fed. Sts.",FSM,1.377587569,3448.303692
Moldova,MDA,2.829393233,10360.82959
Monaco,MCO,NA,NA
Mongolia,MNG,5.769680363,11022.97853
Montenegro,MNE,3.793242563,18263.6006
Morocco,MAR,1.821795354,7126.670586
Mozambique,MOZ,0.208564448,1262.613128
Myanmar,MMR,0.360853051,4268.500677
Namibia,NAM,1.844571323,10662.82993
Nauru,NRU,4.819741662,13551.9626
Nepal,NPL,0.239126119,3331.871769
Netherlands,NLD,9.333572532,52974.11622
New Caledonia,NCL,NA,NA
New Zealand,NZL,6.983555343,41086.1153
Nicaragua,NIC,0.846826586,5630.405738
Niger,NER,0.09849181,1132.331205
Nigeria,NGA,0.597060396,5514.770273
North Macedonia,MKD,3.597303946,15072.94754
Northern Mariana Islands,MNP,NA,NA
Norway,NOR,7.447085509,62987.53586
Oman,OMN,16.00528292,30146.95605
Pakistan,PAK,0.820300353,4278.346663
Palau,PLW,12.45400509,18338.12827
Panama,PAN,2.696239628,28431.08242
Papua New Guinea,PNG,0.793066209,4083.752437
Paraguay,PRY,0.952345926,11828.14013
Peru,PER,1.766284697,12110.2669
Philippines,PHL,1.113176292,7300.13621
Poland,POL,7.609299873,27797.05842
Portugal,PRT,4.812669843,31118.79067
Puerto Rico,PRI,NA,34311.02963
Qatar,QAT,32.47056953,95965.25124
Romania,ROU,3.678916669,23878.18854
Russian Federation,RUS,10.80890931,25488.09612
Rwanda,RWA,0.081800915,1889.158106
Samoa,WSM,1.240245982,5992.439321
San Marino,SMR,NA,58061.8568
Sao Tome and Principe,STP,0.601687734,3794.358595
Saudi Arabia,SAU,17.69171234,48921.21525
Senegal,SEN,0.636556012,2966.455347
Serbia,SRB,6.36470223,15578.20285
Seychelles,SYC,5.352230274,25500.48656
Sierra Leone,SLE,0.131066917,1551.823091
Singapore,SGP,8.220412567,89519.73571
Sint Maarten (Dutch part),SXM,NA,41852.40413
Slovak Republic,SVK,5.669455793,28676.26561
Slovenia,SVN,6.382264187,33805.03005
Solomon Islands,SLB,0.51398282,2518.647478
Somalia,SOM,0.047110994,879.2765319
South Africa,ZAF,7.671201555,12840.0354
South Sudan,SSD,0.183843137,NA
Spain,ESP,5.517944386,37377.06802
Sri Lanka,LKA,0.970910825,11890.51653
St. Kitts and Nevis,KNA,4.687133818,25569.48412
St. Lucia,LCA,2.12135253,14029.59092
St. Martin (French part),MAF,NA,NA
St. Vincent and the Grenadines,VCT,2.015851927,11973.41937
Sudan,SDN,0.457548873,4187.862722
Suriname,SUR,4.918302524,19317.05451
Sweden,SWE,4.000332272,50928.96298
Switzerland,CHE,4.712404478,68025.92004
Syrian Arab Republic,SYR,1.446874775,NA
Tajikistan,TJK,0.563045813,2984.494913
Tanzania,TZA,0.227066841,2354.138985
Thailand,THA,3.82859407,16285.38657
Timor-Leste,TLS,0.5099081,3297.889163
Togo,TGO,0.248526524,1920.469307
Tonga,TON,1.091486406,5944.452686
Trinidad and Tobago,TTO,15.51448846,29053.33478
Tunisia,TUN,2.653857785,10510.33031
Turkey,TUR,4.47717596,25958.64076
Turkmenistan,TKM,12.95172231,12993.53181
Turks and Caicos Islands,TCA,NA,26693.10354
Tuvalu,TUV,0.90098207,3720.305315
Uganda,UGA,0.127140436,2054.090449
Ukraine,UKR,4.227086146,11237.07446
United Arab Emirates,ARE,20.94809226,65218.82043
United Kingdom,GBR,6.148544958,44840.78264
United States,USA,15.53534211,58540.29609
Uruguay,URY,1.931411164,22425.83008
Uzbekistan,UZB,3.24388397,6086.715742
Vanuatu,VUT,0.516361276,2915.70046
"Venezuela, RB",VEN,5.780234026,NA
Vietnam,VNM,2.257300246,6438.259854
Virgin Islands (U.S.),VIR,NA,NA
West Bank and Gaza,PSE,NA,6048.976597
"Yemen, Rep.",YEM,0.536269296,NA
Zambia,ZMB,0.319282188,3443.553254
Zimbabwe,ZWE,0.89759836,3198.982129
,,,
,,,
,,,
Data from database: World Development Indicators,,,
Last Updated: 09/15/2021,,,