State_UT,Poverty
Andaman & Nicobar Islands,1
Lakshwadeep,2.77
Goa,5.09
Kerala,7.05
Himachal Pradesh,8.06
Sikkim,8.19
Punjab,8.26
Andhra Pradesh,9.2
Puducherry,9.69
Daman and Diu,9.86
Delhi,9.91
Jammu & Kashmir,10.35
Haryana,11.16
Uttarakhand,11.26
Tamil Nadu,11.28
Meghalaya,11.87
Tripura,14.05
Rajasthan,14.71
Gujarat,16.63
Maharashtra,17.35
Nagaland,18.88
West Bengal,19.98
Mizoram,20.4
Karnataka,20.91
Chandigarh,21.81
Uttar Pradesh,29.43
Madhya Pradesh,31.65
Assam,31.98
Orissa,32.59
Bihar,33.74
Arunachal Pradesh,34.67
Manipur,36.89
Jharkhand,36.96
Dadra & Nagar Haveli,39.31
Chhattisgarh,39.93